,objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
985,1237678598629622464,5.20554520000002,3.6459149,23.74477,24.01036,22.48557,21.40475,20.5782,0.6149804,0.08969498,1.727549,1.145489,0.6573429,GALAXY
986,1237666338116993046,20.592186,-0.9985321,21.07423,19.2229,18.60275,18.04598,17.68793,0.09270141,1.934309,0.9138031,0.4085007,0.2524395,GALAXY
987,1237678660352738030,5.7333802,3.8097772,23.15915,23.65162,22.38111,21.31234,20.37904,0.6766777,-0.5288429,1.455097,1.089228,0.9356747,GALAXY
988,1237648721762058443,167.36702,0.36660757,20.88488,19.05534,18.09367,17.69425,17.32219,0.122842,1.873474,0.9936466,0.4057636,0.3617325,GALAXY
989,1237667782806209251,118.07445,9.2236942,21.66428,19.9879,19.57736,19.41666,19.28614,0.0001509059,1.696459,0.4194298,0.1635303,0.1234207,STAR
990,1237663783668088946,17.27443,-0.41633002,21.37251,19.53207,18.82878,18.41818,17.95743,0.1044779,1.878092,0.8918991,0.3956547,0.3315525,GALAXY
991,1237663785279553608,19.182119,0.99883732,21.90302,20.39788,19.03835,18.42736,18.12319,0.1999414,1.470039,1.05794,0.4849949,0.3015041,GALAXY
992,1237658612516389016,164.5518,47.932857,24.34356,22.54844,20.67433,19.76732,19.32222,8.96418e-05,4.028923,2.106157,0.9123592,0.3582973,STAR
993,1237667783345373612,122.95246,11.514702,20.34239,19.28258,19.12799,19.01954,19.05383,0.0004209444,1.087036,0.1678371,0.09610367,-0.03591728,STAR
994,1237648721762517198,168.3529,0.25785153,23.37371,21.04978,19.43197,18.88844,18.5264,0.2891009,2.876299,1.661636,0.5974083,0.3505535,GALAXY
995,1237663783667892455,16.847363,-0.35078476,21.1501,20.27061,19.77547,19.67355,19.3082,0.1701842,1.015329,0.6099644,0.3442879,0.1402168,GALAXY
996,1237651752919629939,141.26174,1.1589747,17.71447,16.53076,16.13196,16.0146,15.96409,0.0002428426,1.177778,0.3960972,0.1274338,0.03026104,STAR
997,1237663784204763269,16.838463,0.19118065,21.76552,19.92148,18.87689,18.55897,18.06855,0.1542052,1.760941,1.039019,0.4571304,0.3091564,GALAXY
998,1237657769639084105,160.97285,54.064636,17.11517,16.1626,15.8573,15.73006,15.70319,0.0001228273,0.9517937,0.3249302,0.1165304,0.02646828,STAR
999,1237658800957620737,160.11972,51.601807,25.1546,22.29697,20.38956,19.58433,19.11799,-0.0003314097,2.951706,1.924442,0.8190594,0.4652901,STAR
1000,1237659133281566750,214.3484,52.067403,18.04327,17.10141,16.78927,16.7012,16.6824,-0.0003982366,0.9517345,0.2916107,0.08820152,0.01817322,STAR
1001,1237648702984356594,224.23587,-1.1918193,23.68099,21.19306,19.98141,19.70395,19.49525,1.483112e-05,2.423422,1.213047,0.2690887,0.2174892,STAR
1002,1237678598092620014,4.84001899999998,3.136125,23.00964,21.09253,19.6845,19.23459,18.72605,0.2716541,1.921009,1.456766,0.5265579,0.370224,GALAXY
1003,1237678598629557116,5.03523139999999,3.5882671,25.734,24.67299,22.91375,21.69139,20.54666,0.6262054,1.405659,2.735579,1.338284,0.9652615,GALAXY
1004,1237674650460422523,168.31579,0.12984068,21.25582,19.71035,19.05803,18.80832,18.60503,0.04069892,1.651436,0.6859264,0.3319588,0.2279797,GALAXY
1005,1237663783132463899,20.202839,-0.66747487,25.55831,22.22848,20.62095,19.95272,19.28357,0.4688486,4.727676,1.744995,0.7860355,0.5121517,GALAXY
1006,1237646795989057626,118.83917,-0.85660559,18.84392,17.80757,17.47178,17.36239,17.36939,0.0001771574,1.045399,0.3158092,0.1140442,-0.005584717,STAR
1007,1237666339190538480,20.181411,-0.14343671,21.8508,19.59423,18.48526,18.09764,17.49887,0.2001322,2.309978,1.314856,0.4790325,0.3444099,GALAXY
1008,1237648722298929401,167.37015,0.6745128,21.61988,20.3863,19.76563,19.40048,19.17068,0.05623049,1.299648,0.5551376,0.2807484,0.1698437,GALAXY
1009,1237678619566735989,3.24330559999999,3.0094447,24.70313,24.29834,22.96716,21.39888,20.49243,0.819362,2.323656,1.531342,1.637875,0.7270622,GALAXY
1010,1237653664181256369,141.16095,1.2283881,19.58343,18.66558,18.38333,18.30824,18.30437,0.001076791,0.9103508,0.2747688,0.08088112,-0.002048492,STAR
1011,1237657590852157818,154.46578,51.234373,23.05437,22.36236,20.66034,20.12138,20.10585,6.593573e-07,0.7252769,1.72941,0.5088787,0.03411484,STAR
1012,1237678598628835505,3.448421,3.709448,22.54125,21.01468,19.75478,19.27434,18.81061,0.1973938,1.671837,1.273008,0.4990082,0.396822,GALAXY
1013,1237648722298929292,167.26675,0.71545514,21.7717,19.84301,18.54618,18.09131,17.78407,0.2150686,1.980595,1.311556,0.4516678,0.3140068,GALAXY
1014,1237678598091899531,3.2595561,3.1454034,23.62474,23.61005,22.06968,21.04128,20.24001,1.153602,0.03670692,1.55711,1.078951,0.6596775,GALAXY
1015,1237678779013988477,357.70574,6.122303,20.83528,18.93289,18.06607,17.62264,17.26182,0.05676659,1.971996,0.9873772,0.4342365,0.3005009,GALAXY
1016,1237660958105272704,118.45209,22.21531,20.04977,18.87849,19.11208,19.23787,19.39325,0.0001952692,1.197235,-0.2343102,-0.1356049,-0.157959,STAR
1017,1237678620104327416,4.8574797,3.53654,21.65621,21.80882,21.80731,21.15628,20.99235,0.8243772,-0.1160793,-0.03195953,0.664196,0.1292439,GALAXY
1018,1237678619567456541,4.83678500000002,3.102167,22.57627,21.2614,19.93627,19.40799,18.95312,0.2608515,1.633442,1.409283,0.5277786,0.3707523,GALAXY
1019,1237656494033993856,346.10967,13.049884,19.00867,17.92227,17.48688,17.34733,17.27465,-0.000229026,1.102661,0.4225426,0.1446915,0.06938171,STAR
1020,1237667429546328300,117.55408,10.623637,24.58275,22.07194,20.87298,19.85774,19.2526,0.0001196348,3.394793,1.136694,0.9501686,0.5739403,STAR
1021,1237663782595526787,19.920007,-1.1086607,21.39191,20.14146,19.48474,19.14587,18.77097,0.1327789,1.316721,0.6929932,0.3596096,0.2344894,GALAXY
1022,1237659119325151240,221.80189,48.446305,17.60211,16.63749,16.29696,16.17999,16.16712,-0.0004036936,1.010288,0.2984409,0.1206284,0.0147419,STAR
1023,1237678598628966567,3.76959870000002,3.678384,19.61942,19.55821,19.41866,19.43788,19.23143,0.3105571,0.06676674,0.17799,0.006254196,0.1696568,GALAXY
1024,1237657628438429986,132.54182,37.599523,21.67818,19.16968,17.92693,17.48918,17.1777,-1.305722e-05,2.554983,1.246962,0.4673386,0.2872467,STAR
1025,1237667783345570563,123.38749,11.743173,22.81352,21.49458,21.35819,21.4842,20.98917,0.0003868362,1.369766,0.1697674,-0.1090584,0.3834515,STAR
1026,1237666339189096540,16.830172,-0.15971039,20.27064,19.34843,19.29002,18.94406,18.7763,0.0803512,0.9499969,0.3431759,0.3165283,0.02147102,GALAXY
1027,1237657770713219165,162.0632,55.187137,17.27854,16.23036,15.88818,15.79368,15.7861,-0.0001465,1.033457,0.3251381,0.1145611,0.006597519,STAR
1028,1237663784212955138,35.481979,0.061763366,18.63209,17.50382,17.1183,16.99343,16.95742,-2.097277e-05,1.123337,0.3850136,0.1107655,0.04420853,STAR
1029,1237666339189555357,17.889815,-0.053849116,20.10172,19.03904,18.65604,18.45896,18.24624,0.07567979,1.241739,0.5703011,0.3281651,0.1791306,GALAXY
1030,1237678661422743660,357.16395,4.6431219,18.48128,17.63417,17.33471,17.23715,17.22041,0.0,0.8728447,0.2838402,0.08983421,0.02300262,GALAXY
1031,1237658614126805214,163.23338,48.903788,26.06486,20.87821,21.33288,19.184,18.07355,7.54557e-05,5.446671,-0.3671017,2.100128,1.110804,STAR
1032,1237657770713022677,161.32196,54.9787,19.494,18.4769,18.17255,18.07531,18.02878,-0.0008895022,1.009815,0.3171902,0.1040039,0.0435524,STAR
1033,1237660765905944974,118.29061,22.906066,19.16547,17.77115,17.27056,17.10697,17.10831,-9.94058e-05,1.39798,0.4968472,0.1576939,0.0005054474,STAR
1034,1237678620103934135,3.98857279999999,3.4894258,21.83635,21.87984,21.45356,21.01005,20.9072,0.04428031,0.02259827,0.4746876,0.4265041,-0.001356125,GALAXY
1035,1237666339726295173,17.57142,0.40306991,21.19087,19.81481,19.27358,19.02882,18.8301,0.04440582,1.329208,0.562748,0.2986183,0.2247601,GALAXY
1036,1237667731805439091,123.13805,11.88874,23.27285,22.51624,21.11653,20.16988,19.57234,0.0003744253,2.414293,1.396584,0.879364,0.5325146,STAR
1037,1237658203957231867,133.0545,35.585334,24.03555,22.55323,21.05688,19.08781,17.98213,0.0001953671,1.715931,1.560932,1.933006,1.100811,STAR
1038,1237663784742224274,18.138707,0.41873706,24.98266,22.32791,20.74832,19.94947,19.36473,0.3582983,3.548937,1.734003,0.7537651,0.4634609,GALAXY
1039,1237669680112927521,357.26336,6.9436234,23.57388,24.37055,22.96794,22.26948,20.46159,0.8851526,-0.2661552,1.765385,1.091471,1.651077,GALAXY
1040,1237651494684917903,122.56688,46.571397,21.27585,20.92778,20.69268,20.66351,20.53488,-0.0001031502,0.4219341,0.2324696,0.01849556,0.1648769,STAR
1041,1237654868375962627,119.06338,-0.24466516,20.48794,18.18862,17.15704,16.77878,16.57616,9.333499e-05,2.321901,1.003569,0.3920403,0.20401,STAR
