objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1237664853644018654,215.24496,33.936007,23.00507,22.106,20.95781,20.09486,19.75009,0.5496516,1.507521,1.245066,0.8080273,0.3077736,GALAXY
1237664853644083699,215.28479,33.893606,23.69307,23.34977,22.56916,21.19072,20.72562,0.768573,1.019024,0.9136868,1.407358,0.3574123,GALAXY
1237664853644083854,215.29753,33.781582,23.91027,22.19326,20.9191,20.27363,19.80644,0.3918,1.581654,1.276485,0.7146816,0.4350128,GALAXY
1237664853644083636,215.24359,33.839025,24.50875,22.60403,21.06122,20.24446,19.62134,0.4224123,3.343683,1.648554,0.7961388,0.6397858,GALAXY
1237662684682322566,215.17593,33.744509,23.3706,22.5112,21.72055,20.99255,20.2774,0.5891138,1.476999,1.035717,0.7224293,0.6405716,GALAXY
1237662684682322548,215.16263,33.723669,23.54286,22.60751,20.87291,20.07754,19.64391,0.4586961,1.363485,1.773031,0.915657,0.3645802,GALAXY
1237664853644083760,215.25577,33.762516,24.9773,23.10629,22.69864,21.55957,21.27159,0.8520317,2.258465,0.6803684,1.054848,0.3544197,GALAXY
1237664853644083894,215.35365,33.888432,23.66966,22.99235,21.87803,21.14433,20.74073,0.5801106,1.520809,1.181837,0.8027325,0.2452545,GALAXY
1237664853644084274,215.3373,33.825793,24.20505,23.76644,22.33955,21.00793,20.50369,0.6859123,0.560482,1.487373,1.355839,0.4440899,GALAXY
1237662661596348567,215.37919,34.893232,25.11617,23.06269,21.39706,20.26989,19.63189,0.5726097,3.450533,1.768574,1.081987,0.5819855,GALAXY
1237662223541338885,215.30066,34.757069,24.27995,22.3208,20.42545,19.67822,19.19912,0.4712475,2.566919,1.697365,0.8909969,0.4433346,GALAXY
1237662223541404221,215.41532,34.678155,24.67466,22.61003,20.89957,20.15694,19.60135,0.4827483,2.7134,1.685097,0.8694859,0.5116959,GALAXY
1237662223541404290,215.43197,34.646728,23.95922,22.81032,21.43055,20.41358,19.78598,0.6774024,1.822958,1.329203,1.173706,0.5618343,GALAXY
